Row Labels,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
8 - Track,23.84%,24.60%,24.16%,24.52%,22.98%,22.79%,18.47%,14.26%,7.88%,1.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Cassette's,3.71%,3.91%,4.10%,5.26%,7.06%,10.80%,15.63%,18.99%,26.47%,37.89%,47.57%,54.75%,55.15%,53.94%,53.65%,55.30%,54.23%,49.90%,41.90%,38.27%,32.41%,27.31%,20.95%,16.99%,13.75%,11.21%,7.74%,4.48%,2.66%,1.70%,0.95%,0.20%,0.11%,0.03%,0.03%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
CD's,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.44%,2.32%,8.70%,19.60%,28.11%,33.06%,38.79%,45.38%,55.35%,59.08%,64.85%,70.25%,76.68%,80.45%,83.06%,84.68%,89.29%,93.17%,94.48%,95.59%,95.04%,92.44%,84.31%,77.47%,66.97%,58.45%,51.44%,44.90%,40.26%,32.81%,28.37%,24.95%,20.51%,14.60%,11.98%,7.13%,5.61%
Downloads,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.92%,5.20%,9.24%,15.09%,23.03%,29.00%,36.28%,41.36%,45.66%,44.83%,41.87%,38.00%,26.95%,17.99%,11.97%,8.79%
DVD Audio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.07%,0.07%,0.05%,0.09%,0.02%,0.03%,0.01%,0.02%,0.01%,0.00%,0.00%,-0.01%,0.03%,0.08%,0.04%,0.03%,0.03%,0.01%
Kiosk,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.02%,0.03%,0.03%,0.08%,0.09%,0.04%,0.06%,0.10%,0.05%,0.06%,0.05%,0.03%,0.02%,0.02%
Tier(Paid),0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.26%,6.43%,7.35%,7.30%
LP/EP,61.08%,61.01%,61.65%,60.20%,62.21%,59.42%,55.43%,59.24%,58.47%,52.60%,44.28%,35.50%,29.20%,21.15%,14.29%,8.55%,3.38%,1.15%,0.38%,0.15%,0.11%,0.15%,0.20%,0.29%,0.27%,0.25%,0.22%,0.19%,0.20%,0.16%,0.18%,0.16%,0.11%,0.13%,0.20%,0.60%,0.75%,1.16%,1.53%,2.08%,2.74%,3.36%,4.64%,4.49%,4.31%,4.21%,4.46%
Video (Physical),0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.72%,2.24%,1.48%,1.71%,2.09%,1.88%,1.77%,1.87%,2.62%,3.67%,2.56%,1.96%,2.38%,2.27%,3.35%,4.87%,4.80%,3.70%,4.33%,2.42%,2.48%,2.33%,1.93%,1.52%,1.38%,1.24%,0.98%,0.72%,0.43%,0.28%,0.25%
Streaming(No Paid),0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.42%,2.17%,2.81%,3.83%,5.08%,7.07%,10.01%,9.95%,10.20%
Other Digital,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.21%,0.18%,0.20%,0.19%
Other Tapes,0.76%,0.59%,0.42%,0.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Streaming Paid,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.17%,1.67%,2.05%,2.31%,2.39%,2.74%,3.12%,5.12%,8.27%,10.50%,15.93%,28.08%,38.45%,46.31%,52.47%
Ringtones,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.85%,7.32%,10.89%,12.04%,9.66%,6.84%,4.13%,2.21%,1.49%,1.07%,0.89%,0.83%,0.46%,0.29%,0.23%
SACD,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.22%,0.13%,0.08%,0.05%,0.03%,0.03%,0.03%,0.02%,0.02%,0.02%,0.01%,0.01%,0.01%,0.02%,0.01%,0.01%,0.00%
Sound/Exc Distr.,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.16%,0.26%,0.32%,1.04%,1.79%,3.19%,3.65%,5.87%,7.52%,10.45%,10.96%,10.95%,7.09%,9.38%,7.99%
Synchronization,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.32%,2.41%,2.46%,2.42%,2.42%,2.56%,2.77%,2.66%,2.52%,2.81%,2.43%
Vinyl Single,10.61%,9.89%,9.67%,9.83%,7.75%,6.99%,10.47%,7.51%,7.18%,8.47%,7.71%,7.43%,6.95%,5.31%,3.95%,3.10%,1.88%,1.32%,0.88%,0.79%,0.55%,0.41%,0.40%,0.40%,0.30%,0.20%,0.20%,0.19%,0.24%,0.21%,0.19%,0.17%,0.11%,0.08%,0.04%,0.03%,0.03%,0.03%,0.06%,0.06%,0.04%,0.08%,0.08%,0.06%,0.07%,0.05%,0.06%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
